"TIME","GEO","S_ADJ","AGE","SEX","Value"
"1995Q3","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Seasonally adjusted data","Total","Total","11.1"
"1995Q4","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Seasonally adjusted data","Total","Total","11.1"
"1996Q1","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Seasonally adjusted data","Total","Total","11.2"
"1996Q2","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Seasonally adjusted data","Total","Total","11.2"
"1996Q3","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Seasonally adjusted data","Total","Total","11.2"
"1996Q4","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Seasonally adjusted data","Total","Total","11.2"
"1997Q1","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Seasonally adjusted data","Total","Total","11.2"
"1997Q2","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Seasonally adjusted data","Total","Total","11.2"
"1997Q3","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Seasonally adjusted data","Total","Total","11.0"
"1997Q4","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Seasonally adjusted data","Total","Total","10.9"
"1998Q1","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Seasonally adjusted data","Total","Total","10.8"
"1998Q2","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Seasonally adjusted data","Total","Total","10.7"
"1998Q3","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Seasonally adjusted data","Total","Total","10.5"
"1998Q4","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Seasonally adjusted data","Total","Total","10.3"
"1999Q1","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Seasonally adjusted data","Total","Total","10.0"
"1999Q2","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Seasonally adjusted data","Total","Total","9.7"
"1999Q3","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Seasonally adjusted data","Total","Total","9.5"
"1999Q4","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Seasonally adjusted data","Total","Total","9.2"
