"TIME","GEO","UNIT","S_ADJ","NA_ITEM","Value"
"1995Q1","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 233 566.8"
"1995Q2","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 246 176.7"
"1995Q3","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 256 795.6"
"1995Q4","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 266 521.1"
"1996Q1","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 271 029.0"
"1996Q2","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 287 241.7"
"1996Q3","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 301 129.4"
"1996Q4","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 310 620.7"
"1997Q1","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 323 308.1"
"1997Q2","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 351 008.9"
"1997Q3","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 367 277.4"
"1997Q4","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 393 858.4"
"1998Q1","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 408 014.4"
"1998Q2","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 422 024.3"
"1998Q3","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 436 148.0"
"1998Q4","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 446 655.7"
"1999Q1","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 466 024.7"
"1999Q2","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 481 069.1"
"1999Q3","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 510 474.6"
"1999Q4","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 541 818.8"
"2000Q1","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 571 212.3"
"2000Q2","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 595 064.1"
"2000Q3","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 606 680.7"
"2000Q4","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 623 738.4"
"2001Q1","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 646 759.9"
"2001Q2","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 652 483.0"
"2001Q3","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 657 419.4"
"2001Q4","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 662 027.6"
"2002Q1","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 667 475.6"
"2002Q2","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 683 125.7"
"2002Q3","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 694 877.1"
"2002Q4","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 700 916.4"
"2003Q1","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 701 870.1"
"2003Q2","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 709 531.2"
"2003Q3","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 727 737.7"
"2003Q4","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 750 095.2"
"2004Q1","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 762 831.8"
"2004Q2","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 777 284.6"
"2004Q3","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 785 857.6"
"2004Q4","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 796 665.6"
"2005Q1","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 802 231.9"
"2005Q2","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 824 103.0"
"2005Q3","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 845 569.8"
"2005Q4","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 866 614.2"
"2006Q1","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 890 373.8"
"2006Q2","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 921 483.5"
"2006Q3","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 936 543.3"
"2006Q4","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 964 932.4"
"2007Q1","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 987 395.9"
"2007Q2","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","3 003 746.6"
"2007Q3","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","3 020 636.2"
"2007Q4","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","3 034 963.2"
"2008Q1","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","3 051 775.7"
"2008Q2","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","3 040 463.6"
"2008Q3","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","3 016 861.0"
